Unnamed: 0,Nationality,Department,Program,2019,2019.1,2019.2,2020,2020.1,2020.2,2021,2021.1,2021.2,2022,2022.1,2022.2,Unnamed: 15,Unnamed: 16,Unnamed: 17
114,American,Government UG Degree PG Taught,UG Degree,131,*,*,116,9,*,170,*,*,123,10,*,118,12,5
115,American,Government UG Degree PG Taught,PG Taught,234,74,41,223,79,32,280,88,46,200,71,33,148,62,34
116,American,Health Policy PG Taught,PG Taught,60,37,15,77,56,25,97,63,40,79,48,25,73,41,24
117,American,International.. PG Taught,PG Taught,218,82,44,240,112,61,227,106,60,202,100,59,213,100,56
118,American,International UG Degree History PG Taught,UG Degree,34,*,*,55,9,*,46,*,*,66,12,*,56,8,5
119,American,International UG Degree History PG Taught,PG Taught,89,60,39,68,45,41,119,63,37,85,55,41,79,44,42
120,American,International UG Degree Relations PG Taught,UG Degree,49,7,*,62,13,*,69,*,0,50,7,*,49,10,*
121,American,International UG Degree Relations PG Taught,PG Taught,293,72,35,226,85,32,266,64,32,218,67,36,224,92,44
122,American,Language C.. UG Degree,UG Degree,18,0,0,19,5,*,28,9,*,12,5,0,21,*,*
123,American,Law School UG Degree PG Taught,UG Degree,59,7,*,53,9,*,68,7,*,64,*,0,73,7,*
124,American,Law School UG Degree PG Taught,PG Taught,29,12,*,30,9,*,39,9,*,29,13,6,23,9,*
125,American,Management UG Degree PG Taught,UG Degree,28,*,*,41,*,0,35,*,0,58,*,0,39,*,0
126,American,Management UG Degree PG Taught,PG Taught,195,64,33,172,62,30,156,60,28,100,43,22,121,40,21
127,American,Mathematics UG Degree PG Taught,UG Degree,27,*,*,28,*,*,42,*,*,36,0,0,54,*,0
128,American,Mathematics UG Degree PG Taught,PG Taught,36,12,*,28,8,*,23,6,0,28,6,*,26,7,*
129,American,Media and C.. PG Taught,PG Taught,175,82,44,181,83,44,213,97,47,145,72,40,134,67,34
130,American,Methodology PG Taught,PG Taught,50,13,7,66,23,*,52,23,15,48,17,6,51,16,9
131,American,"Philosophy, UG Degree Logic and S.. PG Taught",UG Degree,85,9,*,92,7,*,107,0,0,93,7,*,112,7,*
132,American,"Philosophy, UG Degree Logic and S.. PG Taught",PG Taught,34,11,*,51,18,9,56,22,14,45,24,11,36,21,12
133,American,Psychological UG Degree and Behavio.. PG Taught,UG Degree,10,*,0,23,6,0,22,*,0,20,0,0,20,*,*
134,American,Psychological UG Degree and Behavio.. PG Taught,PG Taught,125,41,23,125,38,22,148,51,22,90,38,28,120,51,32
135,American,School of Pu.. PG Taught,PG Taught,130,60,23,99,38,9,130,55,21,100,47,15,133,56,16
136,American,Social Policy UG Degree PG Taught,UG Degree,53,*,*,46,5,0,83,*,*,60,*,0,58,*,*
137,American,Social Policy UG Degree PG Taught,PG Taught,144,52,35,97,48,21,121,60,26,103,54,28,88,40,21
138,American,Sociology UG Degree PG Taught,UG Degree,6,0,0,9,0,0,11,*,0,8,0,0,10,*,*
139,American,Sociology UG Degree PG Taught,PG Taught,182,77,39,181,100,40,239,86,42,156,62,28,142,68,35
140,American,Statistics UG Degree PG Taught,UG Degree,11,*,0,20,*,0,26,*,0,28,*,0,33,*,*
141,American,Statistics UG Degree PG Taught,PG Taught,93,11,*,55,8,*,68,6,*,47,10,*,50,8,5
142,Andorran,Gender Stud.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0
143,Andorran,Government UG Degree,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Andorran,International.. UG Degree,UG Degree,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0
145,Andorran,Law School UG Degree Management PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
146,Andorran,Law School UG Degree Management PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,*,*,0,0,0,0
147,Andorran,Sociology PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0
148,Angolan,Anthropology PG Taught,PG Taught,0,0,0,0,0,0,*,*,0,0,0,0,*,*,0
149,Angolan,Economic Hi.. UG Degree Economics PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
150,Angolan,Economic Hi.. UG Degree Economics PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
151,Angolan,Finance PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
152,Angolan,Geography UG Degree and Environ.. PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,*,0,0
153,Angolan,Geography UG Degree and Environ.. PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,*,0,0,0,0,0
154,Angolan,Government UG Degree PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,0,0,0
155,Angolan,Government UG Degree PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
156,Angolan,Health Policy PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
157,Angolan,International.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
158,Angolan,International.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
159,Angolan,Language C.. UG Degree,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Angolan,Law School UG Degree Management PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Angolan,Law School UG Degree Management PG Taught,PG Taught,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0
162,Angolan,Mathematics PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
163,Angolan,"Philosophy, .. UG Degree School of Pu.. PG Taught",UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
164,Angolan,"Philosophy, .. UG Degree School of Pu.. PG Taught",PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
165,Angolan,Social Policy UG Degree Sociology PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Angolan,Social Policy UG Degree Sociology PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
167,Angolan,Statistics PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,*,0,0
168,Anguilla,Accounting PG Taught,PG Taught,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0
169,Anguilla,Law School UG Degree Gender Stud.. PG Taught,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
170,Antiguan,Law School UG Degree Gender Stud.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
171,Antiguan,Geography .. PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
172,Antiguan,Government UG Degree International.. PG Taught,UG Degree,0,0,0,*,0,0,*,0,0,0,0,0,0,0,0
173,Antiguan,Government UG Degree International.. PG Taught,PG Taught,0,0,0,0,0,0,*,*,*,*,0,0,*,0,0
174,Antiguan,International.. UG Degree,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
175,Antiguan,Law School UG Degree,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
176,Antiguan,Management UG Degree PG Taught,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
177,Antiguan,Management UG Degree PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
178,Antiguan,Psychologic.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0
179,Antiguan,Sociology PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
180,Argentinian,Accounting UG Degree,UG Degree,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0
181,Argentinian,Anthropology UG Degree PG Taught,UG Degree,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0
182,Argentinian,Anthropology UG Degree PG Taught,PG Taught,*,*,0,0,0,0,0,0,0,*,*,0,*,*,0
183,Argentinian,Economic Hi.. PG Taught,PG Taught,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0
184,Argentinian,Economics UG Degree PG Taught,UG Degree,*,0,0,*,0,0,*,0,0,*,0,0,*,0,0
185,Argentinian,Economics UG Degree PG Taught,PG Taught,*,0,0,*,*,0,0,0,0,*,*,0,*,*,0
186,Argentinian,European In.. PG Taught,PG Taught,0,0,0,*,0,0,*,*,0,*,*,0,0,0,0
187,Argentinian,Finance UG Degree PG Taught,UG Degree,0,0,0,*,0,0,*,0,0,*,0,0,0,0,0
188,Argentinian,Finance UG Degree PG Taught,PG Taught,*,0,0,5,*,*,*,*,0,*,0,0,*,*,0
