Undergraduate programmes,,,,,,,,,
Year One (2018/18) at LSE,Home/EU,Overseas,,,,,,,
MSc in Global Media and Communications,"£20,904","£20,904",,,,,,,
Year Two (2019/20) at LSE (provisional fees),,,,,,,,,
"LSE-Sciences Po Double Degree in European Studies
(MSc in Political Economy of Europe or
MSc in Global Europe: Culture and Conflict or
MSc in Politics and Government in the European Union)",Partner Fee,,,,,,,,
Double Degree in International Affairs,Partner Fee,,,,,,,,
Double Degree in Internat ional an d W orld Hi story,Partner Fee,,,,,,,,
"International Political Economy
(MSc in International Political Economy or
MSc in International Relations)",Partner Fee,,,,,,,,
LSE-PKU Double Degree in Public Administration and Government (MSc in Public Policy and Adminis,Partner Fee,,,,,,,,
MSc in The Global Political Economy of China and Europe (with Fudan),Partner Fee,,,,,,,,
"MSc in Urban Policy (MSc in Local Economic Development or MSc in Regional and Urban Planning
Studies)",Partner Fee,,,,,,,,
Year One institution optional,,,,,,,,,
MA in Global Studies: A European Perspective,"£13,536","£20,904",,,,,,,
"Master of Public Administration (MPA) and MPA Programme Streams
European Public and Economic Policy
International Development
Public and Economic Policy
Public and Social Policy
Public Policy and Management","£25,368",,,,,,,,
,2018/19,,,,,,,,
,Home/EU,Overseas,,,,,,,
Global MSc in Management,"£26,976","£27,504",,,,,,,
MSc in Economics,"£20,904","£20,904",,,,,,,
,2018/19,,,,,,,,
,Home/EU,Overseas,,,,,,,
LSE-Chicago Double Executive Master's in Health Policy5,"$80,000","$80,000",,,,,,,
Executive Global MSc Management,"£29,214","£29,214",,,,,,,
Executive Master's in Cities,"£32,376","£32,376",,,,,,,
Executive Master's in Law 6,"£3,250 per module",,,,,,,,
Executive MPA,"£14,978","£14,978",,,,,,,
Executive MSc in Behavioural Science,"£31,500","£31,500",,,,,,,
"Executive MSc in Health Economics, Outcomes and Management in Cardiovascular Sciences","£12,854","£12,854",,,,,,,
"Executive MSc in Health Economics, Policy and Management","£9,947","£9,947",,,,,,,
Executive MSc in International Strategy and Diplomacy,"£29,200","£29,200",,,,,,,
Executive MSc in Social Business and Entrepreneurship,"£32,000","£32,000",,,,,,,
MSc in Finance (Part Time),"£17,100","£17,100",,,,,,,
